record_type,port_path,status,classification,priority,sha1,sha256,reference_count,original_paths,notes,width,height,mode,bit_depth_estimate,has_alpha,alpha_min,alpha_max,transparent_pixels,partial_alpha_pixels,parse,frametime,interpolate,explicit_frames,frame_spec
PORT,block/arcane_pedestal.png,MATCH,EXACT_TC4_COPY,P1,8e815031f55bade8cf3e1663fad0da46328095a1,42732705ced63b997c0dcc70cb45b559fb0d059a552015000959f6079aa01f4b,2,textures/blocks/pedestal_side.png,Byte-exact copy of an original TC4 asset.,16,16,RGBA,32,True,0,255,80,0,,,,,
PORT,block/arcane_stone.png,MATCH,EXACT_TC4_COPY,P1,00231f301ef55a329ead0e3563b58b922b525c16,596195baf85d78b511dab582c0bf2ab7d8e2d491e53e82f66162eb36c7881cec,3,textures/blocks/arcane_stone.png,Byte-exact copy of an original TC4 asset.,16,16,RGB,24,False,255,255,0,0,,,,,
PORT,block/arcane_stone_bricks.png,MATCH,EXACT_TC4_COPY,P1,c9d17f6ed9955c6c4a292aed015e10128d4a5b54,164a6090bfdc0df9da371782ebaa539aa1c3a2d9c9dddefa6714bfc78411e354,3,textures/blocks/wardedstone.png,Byte-exact copy of an original TC4 asset.,16,16,RGB,24,False,255,255,0,0,,,,,
PORT,block/arcane_workbench.png,MATCH,EXACT_TC4_COPY,P1,2391fc36153a3c868b29f7dbde23978bbb622958,346dd0000d48f1e287e8e01312b5df8d90eb2b5bf57ba058edfb6d65bca08e63,2,textures/blocks/alchemyblock.png,Byte-exact copy of an original TC4 asset.,32,32,RGB,24,False,255,255,0,0,,,,,
PORT,block/arcane_workbench_original_model.png,MATCH,EXACT_TC4_COPY,P1,09678a43ffd2e25e0d8cd06aff62c02bb3ac6ee2,725e698531295c4e7135bfc14c4347a1443a30c4f3b43c00df4c43c6d040fa6b,0,textures/models/worktable.png,Byte-exact copy of an original TC4 asset.,128,64,RGBA,32,True,0,255,6304,0,,,,,
PORT,block/arcane_workbench_side.png,MATCH,EXACT_TC4_COPY,P1,99405cfcf780bd2ce830dac19797149ceac45d8c,3344f48acac3f396a4b2608e1c694427540def6ed7a2075b6f196d362e14a0a6,0,textures/blocks/woodplain.png,Byte-exact copy of an original TC4 asset.,16,16,RGB,24,False,255,255,0,0,,,,,
PORT,block/arcane_workbench_top.png,EXTRA,ADAPTED_OR_NEW,P1,fdeafdddd91370d43675534f0ab81070a9fe6c83,36f049e1433903550705b2b6f7047d198170c179bac93687f7875309b170e19d,0,,"No byte-identical TC4 core asset; may be a modern adaptation, generated asset, migration/add-on resource, or a true visual deviation.",32,32,RGBA,32,False,255,255,0,0,,,,,
PORT,block/aura_node.png,MATCH,EXACT_TC4_COPY,P0,7f1b4927d54d9eee62e9c13b58fe841e9353c6eb,99a4663551121589a37703b5274664475fed70e5d047c3110c2fc2de35f706de,1,textures/blocks/animatedglow.png,Byte-exact copy of an original TC4 asset.,16,320,RGB,24,False,255,255,0,0,,,,,
PORT,block/aura_node_aer.png,EXTRA,ADAPTED_OR_NEW,P0,ff94dbea4637e8333e7ae25aa1ab6d99475281dd,04de57541b6873f3f30bc13ccf024c0461ccc046192d83977be8695c946ad9a9,2,,"No byte-identical TC4 core asset; may be a modern adaptation, generated asset, migration/add-on resource, or a true visual deviation.",32,32,RGBA,32,True,0,255,185,750,,,,,
PORT,block/aura_node_aqua.png,EXTRA,ADAPTED_OR_NEW,P0,7286c08e0398bec6e5f6605b0fefdb35564cabde,019d519875f335189164094a68bf5269d90360e80d4893964dff1677955d2a49,2,,"No byte-identical TC4 core asset; may be a modern adaptation, generated asset, migration/add-on resource, or a true visual deviation.",32,32,RGBA,32,True,0,255,185,750,,,,,
